No,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
20,189511,Sergio Busquets,29,Spain,89,89,FC Barcelona,€51.5M,315,Right,4,3,3,Medium/ Medium,CDM,5,1-Sep-08,2023,6'2,168lbs,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,5,8,13,9,13
21,179813,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,€60M,200,Right,4,4,3,High/ High,LS,21,16-Jul-13,2020,6'1,170lbs,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,12,5,13,13,10
22,167495,M. Neuer,32,Germany,89,89,FC Bayern München,€38M,130,Right,5,4,1,Medium/ Medium,GK,1,1-Jul-11,2021,6'4,203lbs,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,90,86,91,87,87
23,153079,S. Agüero,30,Argentina,89,89,Manchester City,€64.5M,300,Right,4,4,4,High/ Medium,ST,10,28-Jul-11,2021,5'8,154lbs,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,13,15,6,11,14
24,138956,G. Chiellini,33,Italy,89,89,Juventus,€27M,215,Left,4,3,2,Medium/ High,LCB,3,1-Jul-05,2020,6'2,187lbs,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3
25,231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,€81M,100,Right,3,4,5,High/ Medium,RM,10,1-Jul-18,2022,5'10,161lbs,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,13,5,7,11,6
26,209331,M. Salah,26,Egypt,88,89,Liverpool,€69.5M,255,Left,3,3,4,High/ Medium,RM,10,1-Jul-17,2023,5'9,157lbs,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,14,14,9,11,14
27,200145,Casemiro,26,Brazil,88,90,Real Madrid,€59.5M,285,Right,3,3,2,Medium/ High,CDM,14,11-Jul-13,2021,6'1,185lbs,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,13,14,16,12,12
28,198710,J. Rodríguez,26,Colombia,88,89,FC Bayern München,€69.5M,315,Left,4,3,4,Medium/ Medium,LAM,10,,30-Jun-19,5'11,172lbs,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,15,15,15,5,14
29,198219,L. Insigne,27,Italy,88,88,Napoli,€62M,165,Right,3,3,4,High/ Medium,LW,10,1-Jul-10,2022,5'4,130lbs,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10
30,197781,Isco,26,Spain,88,91,Real Madrid,€73.5M,315,Right,3,3,4,High/ Medium,LW,22,3-Jul-13,2022,5'9,174lbs,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,10,8,12,15,6
31,190460,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,€73.5M,205,Right,3,5,4,High/ Medium,CAM,10,30-Aug-13,2020,5'11,168lbs,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6
32,189242,Coutinho,26,Brazil,88,89,FC Barcelona,€69.5M,340,Right,3,4,5,High/ High,LW,7,6-Jan-18,2023,5'8,150lbs,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6
33,188567,P. Aubameyang,29,Gabon,88,88,Arsenal,€59M,265,Right,3,4,4,Medium/ Low,LM,14,31-Jan-18,2021,6'2,176lbs,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,6,9,15,9,9
34,178603,M. Hummels,29,Germany,88,88,FC Bayern München,€46M,160,Right,4,3,3,High/ Medium,LCB,5,1-Jul-16,2021,6'3,203lbs,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,15,6,10,5,6
35,176676,Marcelo,30,Brazil,88,88,Real Madrid,€43M,285,Left,4,4,5,High/ Low,LB,12,1-Jan-07,2022,5'9,176lbs,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9
36,173731,G. Bale,28,Wales,88,88,Real Madrid,€60M,355,Left,4,3,4,High/ Medium,ST,11,2-Sep-13,2022,6'1,181lbs,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6
37,167948,H. Lloris,31,France,88,88,Tottenham Hotspur,€36M,150,Left,4,1,1,Medium/ Medium,GK,1,1-Aug-12,2022,6'2,181lbs,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,88,84,68,83,92
38,167664,G. Higuaín,30,Argentina,88,88,Milan,€57M,245,Right,4,4,3,High/ Medium,LS,9,,30-Jun-19,6'1,196lbs,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10
39,164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,€24M,165,Right,4,3,2,Medium/ High,RCB,2,1-Jul-12,2020,6'0,181lbs,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,9,12,5,9,10
40,162835,S. Handanovi?,33,Slovenia,88,88,Inter,€30M,110,Right,3,2,1,Medium/ Medium,GK,1,1-Jul-12,2021,6'4,203lbs,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,87,86,69,89,89
41,1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,€4M,77,Right,4,2,1,Medium/ Medium,GK,1,6-Jul-18,2019,6'4,203lbs,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,88,87,74,90,83
42,205600,S. Umtiti,24,France,87,92,FC Barcelona,€57M,205,Left,3,3,2,Medium/ High,CB,23,12-Jul-16,2023,6'0,165lbs,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15
43,201399,M. Icardi,25,Argentina,87,90,Inter,€64.5M,130,Right,3,4,3,Medium/ Low,ST,9,9-Jul-13,2021,5'11,165lbs,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9
44,201024,K. Koulibaly,27,Senegal,87,90,Napoli,€51M,115,Right,3,3,2,High/ High,LCB,26,1-Jul-14,2021,6'2,196lbs,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5
45,195864,P. Pogba,25,France,87,91,Manchester United,€64M,210,Right,4,4,5,High/ Low,RDM,6,9-Aug-16,2021,6'4,185lbs,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3
46,193041,K. Navas,31,Costa Rica,87,87,Real Madrid,€30.5M,195,Right,3,3,1,Medium/ Medium,GK,1,3-Aug-14,2020,6'1,176lbs,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
47,192505,R. Lukaku,25,Belgium,87,89,Manchester United,€62.5M,230,Left,3,3,3,Medium/ Medium,ST,9,10-Jul-17,2022,6'3,207lbs,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10
48,192387,C. Immobile,28,Italy,87,87,Lazio,€52M,115,Right,3,4,3,High/ Medium,ST,17,27-Jul-16,2023,6'1,187lbs,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6
49,189332,Jordi Alba,29,Spain,87,87,FC Barcelona,€38M,250,Left,3,3,3,High/ Medium,LB,18,1-Jul-12,2020,5'7,150lbs,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13
50,175943,D. Mertens,31,Belgium,87,87,Napoli,€45M,135,Right,3,4,4,High/ Low,RF,14,1-Jul-13,2020,5'7,134lbs,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4
51,172871,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,€34M,155,Left,3,3,3,High/ High,LCB,5,1-Jul-12,2019,6'2,190lbs,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7
52,171877,M. Hamšík,30,Slovakia,87,87,Napoli,€46.5M,125,Right,3,5,3,High/ Medium,LCM,17,1-Jul-07,2020,6'0,174lbs,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,8,6,4,14,14
53,168651,I. Rakiti?,30,Croatia,87,87,FC Barcelona,€46.5M,260,Right,4,3,3,High/ High,RCM,4,1-Jul-14,2021,6'0,172lbs,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9
54,152729,Piqué,31,Spain,87,87,FC Barcelona,€34M,240,Right,4,3,2,High/ Medium,RCB,3,1-Jul-08,2022,6'4,187lbs,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,10,11,14,15,8
55,222492,L. Sané,22,Germany,86,92,Manchester City,€61M,195,Left,2,3,4,High/ Medium,LW,19,2-Aug-16,2021,6'0,165lbs,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14
56,218667,Bernardo Silva,23,Portugal,86,91,Manchester City,€59.5M,180,Left,2,3,4,High/ Medium,RW,11,1-Jul-17,2022,5'8,141lbs,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9
57,210257,Ederson,24,Brazil,86,90,Manchester City,€41.5M,125,Left,2,3,1,Medium/ Medium,GK,31,1-Jul-17,2025,6'2,190lbs,20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8,85,80,91,82,87
58,208722,S. Mané,26,Senegal,86,87,Liverpool,€52M,195,Right,3,4,4,High/ Medium,LM,10,1-Jul-16,2023,5'9,152lbs,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14
59,203376,V. van Dijk,26,Netherlands,86,88,Liverpool,€44.5M,165,Right,3,3,2,Medium/ Medium,LCB,4,1-Jan-18,2023,6'4,203lbs,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,13,10,13,11,11
60,202652,R. Sterling,23,England,86,89,Manchester City,€56.5M,195,Right,3,3,4,High/ Medium,RW,10,14-Jul-15,2023,5'7,152lbs,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9
61,201942,Roberto Firmino,26,Brazil,86,87,Liverpool,€53M,195,Right,3,4,4,High/ High,CAM,9,6-Jul-15,2023,5'11,168lbs,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10
62,201535,R. Varane,25,France,86,91,Real Madrid,€50M,210,Right,3,3,2,Medium/ High,RCB,4,1-Jul-11,2022,6'3,179lbs,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14
63,199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,€55M,135,Right,3,4,4,Medium/ High,LCM,6,18-Jul-12,2021,5'5,132lbs,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10
64,191043,Alex Sandro,27,Brazil,86,86,Juventus,€36.5M,160,Left,3,3,3,High/ High,LB,12,21-Aug-15,2020,5'11,176lbs,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5
65,190483,Douglas Costa,27,Brazil,86,86,Juventus,€46.5M,175,Left,3,3,5,High/ Medium,LM,11,1-Jul-18,2022,5'8,154lbs,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5
66,189596,T. Müller,28,Germany,86,86,FC Bayern München,€45M,135,Right,4,4,3,High/ High,CAM,13,10-Aug-08,2021,6'1,165lbs,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14
67,189509,Thiago,27,Spain,86,86,FC Bayern München,€45.5M,130,Right,3,3,5,Medium/ Medium,CM,19,14-Jul-13,2021,5'9,154lbs,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,6,11,7,9,13
68,188350,M. Reus,29,Germany,86,86,Borussia Dortmund,€43.5M,100,Right,4,4,4,High/ Medium,LM,11,1-Jul-12,2023,5'11,157lbs,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,12,12,13,13,11
69,184432,Azpilicueta,28,Spain,86,86,Chelsea,€35M,175,Right,3,3,2,Medium/ Medium,RB,14,24-Aug-12,2022,5'10,168lbs,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5
70,184344,L. Bonucci,31,Italy,86,86,Juventus,€30M,160,Right,3,3,2,Low/ High,RCB,19,2-Aug-18,2023,6'3,187lbs,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4
71,184087,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,€39M,150,Right,3,3,2,Medium/ Medium,RCB,2,8-Jul-15,2020,6'1,179lbs,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14
72,180206,M. Pjani?,28,Bosnia Herzegovina,86,86,Juventus,€44M,180,Right,3,4,3,Medium/ Medium,CDM,5,1-Jul-16,2023,5'10,159lbs,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8
73,177509,M. Benatia,31,Morocco,86,86,Juventus,€30M,160,Right,3,3,2,Medium/ High,CB,4,26-Aug-14,2020,6'2,207lbs,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11
74,176635,M. Özil,29,Germany,86,86,Arsenal,€43.5M,190,Left,4,2,4,Medium/ Low,CAM,10,2-Sep-13,2021,5'11,168lbs,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14
75,135507,Fernandinho,33,Brazil,86,86,Manchester City,€18M,185,Right,3,4,3,Medium/ High,CDM,25,1-Jul-13,2020,5'10,148lbs,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,12,11,5,13,7
76,41,Iniesta,34,Spain,86,86,Vissel Kobe,€21.5M,21,Right,4,4,4,High/ Medium,LF,8,16-Jul-18,2021,5'7,150lbs,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7
77,232363,M. Škriniar,23,Slovakia,85,92,Inter,€46.5M,82,Right,1,4,2,Medium/ High,LCB,37,7-Jul-17,2022,6'2,176lbs,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,10,13,12,8,12
78,223848,S. Milinkovi?-Savi?,23,Serbia,85,90,Lazio,€50.5M,73,Right,2,4,4,High/ Medium,CM,21,6-Aug-15,2023,6'3,168lbs,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7
79,220834,Marco Asensio,22,Spain,85,92,Real Madrid,€54M,215,Left,3,3,4,High/ Medium,RW,10,1-Jul-15,2023,6'0,168lbs,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10
80,216594,N. Fekir,24,France,85,89,Olympique Lyonnais,€50M,92,Left,3,3,4,High/ Medium,CAM,18,1-Jul-13,2020,5'8,165lbs,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15
81,212831,Alisson,25,Brazil,85,90,Liverpool,€36.5M,115,Right,3,3,1,Medium/ Medium,GK,13,19-Jul-18,2024,6'3,201lbs,17,13,19,45,20,27,19,18,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,83,81,85,84,88
82,212622,J. Kimmich,23,Germany,85,88,FC Bayern München,€40.5M,92,Right,3,4,3,High/ Low,RCM,18,1-Jul-15,2023,5'9,154lbs,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,8,15,7,15,15
83,208421,Saúl,23,Spain,85,90,Atlético Madrid,€50.5M,77,Left,3,4,3,High/ High,RCM,6,1-Jul-13,2026,6'0,170lbs,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,7,13,12,10,9
84,204485,R. Mahrez,27,Algeria,85,85,Manchester City,€40.5M,205,Left,3,4,5,Medium/ Medium,RW,26,10-Jul-18,2023,5'10,148lbs,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6
85,197445,D. Alaba,26,Austria,85,87,FC Bayern München,€38M,110,Left,4,4,3,High/ Medium,LB,8,10-Feb-10,2021,5'11,168lbs,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9
86,193747,Koke,26,Spain,85,86,Atlético Madrid,€45M,88,Right,3,4,3,High/ High,LM,8,1-Jan-11,2019,5'9,163lbs,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13
87,193301,A. Lacazette,27,France,85,86,Arsenal,€45M,180,Right,3,4,4,High/ High,ST,9,5-Jul-17,2022,5'9,161lbs,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6
88,192774,K. Manolas,27,Greece,85,87,Roma,€37.5M,96,Right,3,2,2,Low/ High,LCB,4,26-Aug-14,2022,6'2,183lbs,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12
89,192366,N. Otamendi,30,Argentina,85,85,Manchester City,€28.5M,170,Right,3,3,2,High/ High,CB,30,20-Aug-15,2022,6'0,179lbs,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,12,5,8,11,12
90,189513,Parejo,29,Spain,85,85,Valencia CF,€37M,66,Right,2,4,3,Medium/ Low,RCM,10,1-Jul-11,2020,6'0,163lbs,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,5,9,12,14,8
